universityName,city,state,websiteUrl,housingUrl,dormCount
Friends University,Wichita,KS,https://friends.edu,,0
Garden City Community College,Garden City,KS,https://www.gcccks.edu,,0
Highland Community College,Highland,KS,https://www.highlandcc.edu,,0
Hutchinson Community College,Hutchinson,KS,https://www.hutchcc.edu,,0
Independence Community College,Independence,KS,https://www.indycc.edu,,0
Kansas Wesleyan University,Salina,KS,https://www.kwu.edu,,0
McPherson College,McPherson,KS,https://mcpherson.edu,,0
MidAmerica Nazarene University,Olathe,KS,https://www.mnu.edu,,0
Ottawa University,Ottawa,KS,https://www.ottawa.edu,,0
Pittsburg State University,Pittsburg,KS,https://www.pittstate.edu,,0
Southwestern College,Winfield,KS,https://www.sckans.edu,,0
Sterling College,Sterling,KS,https://www.sterling.edu,,0
Tabor College,Hillsboro,KS,https://www.tabor.edu,,0
University of Kansas,Lawrence,KS,https://ku.edu,,0
University of Saint Mary,Leavenworth,KS,https://www.stmary.edu,,0
Washburn University,Topeka,KS,https://www.washburn.edu,,0
Asbury University,Wilmore,KY,https://www.asbury.edu,,0
Campbellsville University,Campbellsville,KY,https://www.campbellsville.edu,,0
Centre College,Danville,KY,https://centre.edu,,0
Eastern Kentucky University,Richmond,KY,https://www.eku.edu,,0
Kentucky State University,Frankfort,KY,https://kysu.edu,,0
Lindsey Wilson College,Columbia,KY,https://www.lindsey.edu,,0
Morehead State University,Morehead,KY,https://www.moreheadstate.edu,,0
Murray State University,Murray,KY,https://www.murraystate.edu,,0
University of Kentucky,Lexington,KY,https://www.uky.edu,,0
University of Louisville,Louisville,KY,https://louisville.edu,,0
University of Pikeville,Pikeville,KY,https://www.upike.edu,,0
University of the Cumberlands,Williamsburg,KY,https://www.ucumberlands.edu,,0
Western Kentucky University,Bowling Green,KY,https://www.wku.edu,,0
Centenary College of Louisiana,Shreveport,LA,https://www.centenary.edu,,0
Grambling State University,Grambling,LA,https://www.gram.edu,,0
Louisiana State University,Baton Rouge,LA,https://www.lsu.edu,,0
McNeese State University,Lake Charles,LA,https://www.mcneese.edu,,0
Nicholls State University,Thibodaux,LA,https://www.nicholls.edu,,0
Northwestern State University,Natchitoches,LA,https://www.nsula.edu,,0
