universityName,city,state,websiteUrl,housingUrl,dormCount
University of Delaware,Newark,DE,https://www.udel.edu,,0
Wilmington University,New Castle,DE,https://www.wilmu.edu,,0
Ave Maria University,Ave Maria,FL,https://avemaria.edu,,0
Bethune-Cookman University,Daytona Beach,FL,https://www.cookman.edu,,0
Eastern Florida State College,Cocoa,FL,https://www.easternflorida.edu,,0
Edward Waters University,Jacksonville,FL,https://www.ewc.edu,,0
Florida A&M University,Tallahassee,FL,https://www.famu.edu,,0
Florida Atlantic University,Boca Raton,FL,https://www.fau.edu,,0
Florida Memorial University,Miami Gardens,FL,https://fmuniv.edu,,0
Florida State University,Tallahassee,FL,https://www.fsu.edu,,0
Keiser University,West Palm Beach,FL,https://keiseruniversity.edu,,0
Nova Southeastern University,Davie,FL,https://www.nova.edu,,0
Saint Thomas University,Miami Gardens,FL,https://stu.edu,,0
Stetson University,DeLand,FL,https://www.stetson.edu,,0
University of Florida,Gainesville,FL,https://www.ufl.edu,,0
University of Miami,Coral Gables,FL,https://www.miami.edu,,0
University of South Florida,Tampa,FL,https://www.usf.edu,,0
Webber International University,Babson Park,FL,https://webber.edu,,0
Albany State University,Albany,GA,https://www.asurams.edu,,0
Berry College,Mount Berry,GA,https://www.berry.edu,,0
Clark Atlanta University,Atlanta,GA,https://www.cau.edu,,0
Fort Valley State University,Fort Valley,GA,https://www.fvsu.edu,,0
Kennesaw State University,Kennesaw,GA,https://www.kennesaw.edu,,0
Mercer University,Macon,GA,https://www.mercer.edu,,0
Morehouse College,Atlanta,GA,https://www.morehouse.edu,,0
Reinhardt University,Waleska,GA,https://www.reinhardt.edu,,0
Savannah State University,Savannah,GA,https://www.savannahstate.edu,,0
University of Georgia,Athens,GA,https://www.uga.edu,,0
Valdosta State University,Valdosta,GA,https://www.valdosta.edu,,0
University of Hawaii at Manoa,Honolulu,HI,https://manoa.hawaii.edu,,0
Briar Cliff University,Sioux City,IA,https://www.briarcliff.edu,,0
Buena Vista University,Storm Lake,IA,https://www.bvu.edu,,0
Central College,Pella,IA,https://www.central.edu,,0
Coe College,Cedar Rapids,IA,https://www.coe.edu,,0
Cornell College,Mount Vernon,IA,https://www.cornellcollege.edu,,0
