universityName,city,state,websiteUrl,housingUrl,dormCount
Colgate University,Hamilton,NY,https://www.colgate.edu,,0
Hamilton College,Clinton,NY,https://hamilton.edu,,0
Hartwick College,Oneonta,NY,https://hartwick.edu,,0
Hobart and William Smith Colleges,Geneva,NY,https://hws.edu,,0
Ithaca College,Ithaca,NY,https://ithaca.edu,,0
Long Island University,Brookville,NY,https://www.liu.edu,,0
Nazareth University,Rochester,NY,https://naz.edu,,0
Rensselaer Polytechnic Institute,Troy,NY,https://rpi.edu,,0
Rochester Institute of Technology,Rochester,NY,https://rit.edu,,0
SUNY Brockport,Brockport,NY,https://brockport.edu,,0
SUNY Cortland,Cortland,NY,https://cortland.edu,,0
SUNY Geneseo,Geneseo,NY,https://geneseo.edu,,0
SUNY New Paltz,New Paltz,NY,https://newpaltz.edu,,0
SUNY Oneonta,Oneonta,NY,https://oneonta.edu,,0
SUNY Oswego,Oswego,NY,https://oswego.edu,,0
SUNY Plattsburgh,Plattsburgh,NY,https://plattsburgh.edu,,0
SUNY Potsdam,Potsdam,NY,https://potsdam.edu,,0
Skidmore College,Saratoga Springs,NY,https://skidmore.edu,,0
St. John Fisher University,Rochester,NY,https://sjf.edu,,0
St. Lawrence University,Canton,NY,https://stlawu.edu,,0
Stony Brook University,Stony Brook,NY,https://www.stonybrook.edu,,0
Syracuse University,Syracuse,NY,https://www.syracuse.edu,,0
Union College NY,Schenectady,NY,https://union.edu,,0
United States Military Academy,West Point,NY,https://www.westpoint.edu,,0
University at Buffalo,Buffalo,NY,https://www.buffalo.edu,,0
Utica University,Utica,NY,https://utica.edu,,0
Vassar College,Poughkeepsie,NY,https://vassar.edu,,0
Wagner College,Staten Island,NY,https://wagner.edu,,0
Ashland University,Ashland,OH,https://www.ashland.edu,,0
Baldwin Wallace University,Berea,OH,https://www.bw.edu,,0
Bluffton University,Bluffton,OH,https://www.bluffton.edu,,0
Bowling Green State University,Bowling Green,OH,https://www.bgsu.edu,,0
Capital University,Bexley,OH,https://www.capital.edu,,0
Central State University,Wilberforce,OH,https://www.centralstate.edu,,0
Denison University,Granville,OH,https://denison.edu,,0
