universityName,city,state,websiteUrl,housingUrl,dormCount
North Carolina A&T State University,Greensboro,NC,https://www.ncat.edu,,0
North Carolina State University,Raleigh,NC,https://www.ncsu.edu,,0
Pfeiffer University,Misenheimer,NC,https://pfeiffer.edu,,0
Saint Augustine's University,Raleigh,NC,https://www.st-aug.edu,,0
Shaw University,Raleigh,NC,https://www.shawu.edu,,0
University of North Carolina at Chapel Hill,Chapel Hill,NC,https://www.unc.edu,,0
Western Carolina University,Cullowhee,NC,https://www.wcu.edu,,0
William Peace University,Raleigh,NC,https://peace.edu,,0
Wingate University,Wingate,NC,https://www.wingate.edu,,0
Winston-Salem State University,Winston-Salem,NC,https://www.wssu.edu,,0
North Dakota State University,Fargo,ND,https://www.ndsu.edu,,0
University of North Dakota,Grand Forks,ND,https://und.edu,,0
Chadron State College,Chadron,NE,https://www.csc.edu,,0
Concordia University Nebraska,Seward,NE,https://www.cune.edu,,0
Doane University,Crete,NE,https://www.doane.edu,,0
Hastings College,Hastings,NE,https://www.hastings.edu,,0
University of Nebraska,Lincoln,NE,https://www.unl.edu,,0
University of Nebraska at Kearney,Kearney,NE,https://www.unk.edu,,0
Wayne State College,Wayne,NE,https://www.wsc.edu,,0
Kean University,Union,NJ,https://kean.edu,,0
Princeton University,Princeton,NJ,https://www.princeton.edu,,0
Ramapo College,Mahwah,NJ,https://ramapo.edu,,0
Rutgers University-New Brunswick,New Brunswick,NJ,https://www.rutgers.edu,,0
Rutgers University-Newark,Newark,NJ,https://newark.rutgers.edu,,0
Stockton University,Galloway,NJ,https://stockton.edu,,0
William Paterson University,Wayne,NJ,https://wpunj.edu,,0
Eastern New Mexico University,Portales,NM,https://www.enmu.edu,,0
New Mexico State University,Las Cruces,NM,https://www.nmsu.edu,,0
University of New Mexico,Albuquerque,NM,https://www.unm.edu,,0
Western New Mexico University,Silver City,NM,https://www.wnmu.edu,,0
University of Nevada Las Vegas,Las Vegas,NV,https://www.unlv.edu,,0
University of Nevada Reno,Reno,NV,https://www.unr.edu,,0
Alfred University,Alfred,NY,https://alfred.edu,,0
Bard College,Annandale-on-Hudson,NY,https://bard.edu,,0
Clarkson University,Potsdam,NY,https://clarkson.edu,,0
