universityName,city,state,websiteUrl,housingUrl,dormCount
Fullerton College,Fullerton,CA,https://www.fullcoll.edu,,0
Long Beach City College,Long Beach,CA,https://www.lbcc.edu,,0
Mt. San Antonio College,Walnut,CA,https://www.mtsac.edu,,0
Occidental College,Los Angeles,CA,https://oxy.edu,,0
Pasadena City College,Pasadena,CA,https://pasadena.edu,,0
Pomona-Pitzer Colleges,Claremont,CA,https://pomona.edu,,0
Riverside City College,Riverside,CA,https://www.rcc.edu,,0
Sacramento State University,Sacramento,CA,https://www.csus.edu,,0
Saddleback College,Mission Viejo,CA,https://www.saddleback.edu,,0
San Diego State University,San Diego,CA,https://www.sdsu.edu,,0
Sonoma State University,Rohnert Park,CA,https://www.sonoma.edu,,0
Stanford University,Stanford,CA,https://www.stanford.edu,,0
UCLA,Los Angeles,CA,https://www.ucla.edu,,0
University of California Davis,Davis,CA,https://www.ucdavis.edu,,0
University of La Verne,La Verne,CA,https://laverne.edu,,0
University of Redlands,Redlands,CA,https://redlands.edu,,0
University of Southern California,Los Angeles,CA,https://www.usc.edu,,0
Whittier College,Whittier,CA,https://whittier.edu,,0
Adams State University,Alamosa,CO,https://www.adams.edu,,0
Colorado Mesa University,Grand Junction,CO,https://www.coloradomesa.edu,,0
Colorado School of Mines,Golden,CO,https://www.mines.edu,,0
Colorado State University,Fort Collins,CO,https://www.colostate.edu,,0
United States Air Force Academy,Colorado Springs,CO,https://www.usafa.edu,,0
University of Colorado Boulder,Boulder,CO,https://www.colorado.edu,,0
University of Northern Colorado,Greeley,CO,https://www.unco.edu,,0
Western Colorado University,Gunnison,CO,https://western.edu,,0
Connecticut College,New London,CT,https://conncoll.edu,,0
Sacred Heart University,Fairfield,CT,https://www.sacredheart.edu,,0
Trinity College,Hartford,CT,https://www.trincoll.edu,,0
Trinity College CT,Hartford,CT,https://trincoll.edu,,0
University of Connecticut,Storrs,CT,https://uconn.edu,,0
Wesleyan University,Middletown,CT,https://www.wesleyan.edu,,0
Yale University,New Haven,CT,https://www.yale.edu,,0
Howard University,Washington,DC,https://www.howard.edu,,0
Delaware State University,Dover,DE,https://www.desu.edu,,0
