universityName,city,state,websiteUrl,housingUrl,dormCount
Delta State University,Cleveland,MS,https://www.deltastate.edu,,0
East Central Community College,Decatur,MS,https://www.eccc.edu,,0
Hinds Community College,Raymond,MS,https://www.hindscc.edu,,0
Holmes Community College,Goodman,MS,https://www.holmescc.edu,,0
Itawamba Community College,Fulton,MS,https://www.iccms.edu,,0
Jackson State University,Jackson,MS,https://www.jsums.edu,,0
Jones College,Ellisville,MS,https://www.jcjc.edu,,0
Millsaps College,Jackson,MS,https://www.millsaps.edu,,0
Mississippi College,Clinton,MS,https://www.mc.edu,,0
Mississippi Delta Community College,Moorhead,MS,https://www.msdelta.edu,,0
Mississippi Gulf Coast Community College,Perkinston,MS,https://www.mgccc.edu,,0
Mississippi State University,Starkville,MS,https://www.msstate.edu,,0
Mississippi Valley State University,Itta Bena,MS,https://www.mvsu.edu,,0
Northwest Mississippi Community College,Senatobia,MS,https://www.northwestms.edu,,0
Pearl River Community College,Poplarville,MS,https://www.prcc.edu,,0
Southwest Mississippi Community College,Summit,MS,https://www.smcc.edu,,0
University of Mississippi,Oxford,MS,https://olemiss.edu,,0
Carroll College,Helena,MT,https://www.carroll.edu,,0
Montana Tech of the University of Montana,Butte,MT,https://www.mtech.edu,,0
University of Montana Western,Dillon,MT,https://www.umwestern.edu,,0
Appalachian State University,Boone,NC,https://www.appstate.edu,,0
Brevard College,Brevard,NC,https://brevard.edu,,0
Catawba College,Salisbury,NC,https://www.catawba.edu,,0
Davidson College,Davidson,NC,https://www.davidson.edu,,0
Duke University,Durham,NC,https://duke.edu,,0
East Carolina University,Greenville,NC,https://www.ecu.edu,,0
Elizabeth City State University,Elizabeth City,NC,https://www.ecsu.edu,,0
Fayetteville State University,Fayetteville,NC,https://www.uncfsu.edu,,0
Gardner-Webb University,Boiling Springs,NC,https://www.gardner-webb.edu,,0
Guilford College,Greensboro,NC,https://guilford.edu,,0
Johnson C. Smith University,Charlotte,NC,https://www.jcsu.edu,,0
Lenoir-Rhyne University,Hickory,NC,https://www.lr.edu,,0
Livingstone College,Salisbury,NC,https://www.livingstone.edu,,0
Mars Hill University,Mars Hill,NC,https://www.mhu.edu,,0
Meredith College,Raleigh,NC,https://meredith.edu,,0
