universityName,city,state,websiteUrl,housingUrl,dormCount
Dordt University,Sioux Center,IA,https://www.dordt.edu,,0
Drake University,Des Moines,IA,https://www.drake.edu,,0
Ellsworth Community College,Iowa Falls,IA,https://www.iavalley.edu/ecc,,0
Grand View University,Des Moines,IA,https://www.grandview.edu,,0
Iowa Central Community College,Fort Dodge,IA,https://www.iowacentral.edu,,0
Iowa Lakes Community College,Estherville,IA,https://iowalakes.edu,,0
Iowa State University,Ames,IA,https://www.iastate.edu,,0
Iowa Western Community College,Council Bluffs,IA,https://www.iwcc.edu,,0
Kirkwood Community College,Cedar Rapids,IA,https://kirkwood.edu,,0
Loras College,Dubuque,IA,https://www.loras.edu,,0
Luther College,Decorah,IA,https://www.luther.edu,,0
Mount Mercy University,Cedar Rapids,IA,https://mtmercy.edu,,0
Northwestern College,Orange City,IA,https://www.nwciowa.edu,,0
Simpson College,Indianola,IA,https://simpson.edu,,0
University of Dubuque,Dubuque,IA,https://www.dbq.edu,,0
University of Iowa,Iowa City,IA,https://uiowa.edu,,0
University of Northern Iowa,Cedar Falls,IA,https://www.uni.edu,,0
Wartburg College,Waverly,IA,https://www.wartburg.edu,,0
Boise State University,Boise,ID,https://www.boisestate.edu,,0
Idaho State University,Pocatello,ID,https://www.isu.edu,,0
Lewis-Clark State College,Lewiston,ID,https://www.lcsc.edu,,0
The College of Idaho,Caldwell,ID,https://www.collegeofidaho.edu,,0
University of Idaho,Moscow,ID,https://www.uidaho.edu,,0
Augustana College,Rock Island,IL,https://www.augustana.edu,,0
Eastern Illinois University,Charleston,IL,https://www.eiu.edu,,0
Elmhurst University,Elmhurst,IL,https://www.elmhurst.edu,,0
Eureka College,Eureka,IL,https://www.eureka.edu,,0
Greenville University,Greenville,IL,https://www.greenville.edu,,0
Illinois College,Jacksonville,IL,https://www.ic.edu,,0
Illinois State University,Normal,IL,https://illinoisstate.edu,,0
Knox College,Galesburg,IL,https://www.knox.edu,,0
Lake Forest College,Lake Forest,IL,https://www.lakeforest.edu,,0
Millikin University,Decatur,IL,https://www.millikin.edu,,0
Monmouth College,Monmouth,IL,https://www.monmouthcollege.edu,,0
North Park University,Chicago,IL,https://www.northpark.edu,,0
